Periode,Datum,Cijfer
1,20151210,6
1,20151210,8
1,20151210,8
1,20151210,8.5
1,20151210,8.9
1,20151210,9.5
1,20151210,10
1,20151210,10
1,20151210,10
1,20151210,10
3,20161215,7
3,20161215,7
3,20161215,8
3,20161215,8
3,20161215,9
3,20161215,9
3,20161215,9
3,20161215,9
3,20161215,9
3,20161215,9.9
3,20161215,10
3,20161215,10
3,20161215,10
3,20161215,10
4,20170714,6.5
4,20170714,7.5
4,20170714,8
4,20170714,8.3
4,20170714,9
4,20170714,9
4,20170714,9
4,20170714,9
4,20170714,9
4,20170714,9
4,20170714,9.25
4,20170714,9.99
4,20170714,10
4,20170714,10
5,20171214,7.5
5,20171214,8
5,20171214,8
5,20171214,8.5
5,20171214,8.5
5,20171214,9.5
5,20171214,9.5
5,20171214,9.5
5,20171214,9.8
5,20171214,10
5,20171214,10
5,20171214,10
5,20171214,10
5,20171214,10
6,20180712,7.5
6,20180712,9
6,20180712,9
6,20180712,9
6,20180712,9.7
6,20180712,9.8
6,20180712,9.99
6,20180712,10
6,20180712,10
6,20180712,10
6,20180712,10
6,20180712,10
6,20180712,10
6,20180712,10
6,20180712,10
7,20181213,7.5
7,20181213,8.5
7,20181213,9
7,20181213,9.5
7,20181213,9.5
7,20181213,9.5
7,20181213,9.5
7,20181213,9.5
7,20181213,9.9
7,20181213,9.99
7,20181213,10
7,20181213,10
7,20181213,10
7,20181213,10
7,20181213,10
8,20190704,7
8,20190704,7.5
8,20190704,7.5
8,20190704,8
8,20190704,8.5
8,20190704,8.8
8,20190704,9
8,20190704,9
8,20190704,9
8,20190704,9
8,20190704,9
8,20190704,9.1
8,20190704,9.99
8,20190704,10
8,20190704,10
8,20190704,10
8,20190704,10
9,20191212,9
9,20191212,9
9,20191212,9
9,20191212,9
9,20191212,9
9,20191212,9
9,20191212,9.0001
9,20191212,9.1
9,20191212,9.14159265359
9,20191212,9.3
9,20191212,9.75
9,20191212,9.8
9,20191212,9.9
9,20191212,10
9,20191212,10
9,20191212,10
9,20191212,10
